parent_term,count,label
ENVO:00000055,14,saline evaporation pond
ENVO:01000744,14,human dwelling
ENVO:00003032,14,fresh animal manure
ENVO:00002241,13,leptosol
ENVO:01000059,13,sea grass bed
ENVO:01000756,13,obsolete vegetable
ENVO:00005782,12,ornithogenic soil
ENVO:01000047,12,mediterranean sea biome
ENVO:00000207,12,oceanic zone
ENVO:01001833,12,mediterranean biome
ENVO:01001832,12,subtropical biome
ENVO:01001036,12,sediment permeated by saline water
ENVO:01001702,12,subtropical environment
ENVO:01000022,12,marine salt marsh biome
ENVO:00005770,11,beech forest soil
ENVO:00000385,11,stream mouth
ENVO:00000479,11,mouth
ENVO:02000001,11,textile
ENVO:01000179,11,desert biome
ENVO:01000255,11,mineral deposit
ENVO:00000327,11,speleothem
ENVO:01001064,11,hypoxic water
ENVO:02000058,11,cloth
ENVO:01001780,11,desert ecosystem
ENVO:00002194,10,oil field production water
ENVO:03605003,10,epiphyton
ENVO:02000007,10,tissue culture
ENVO:00000162,10,tea plantation
ENVO:00005804,10,nest of ant
ENVO:01000131,10,mesophilic sediment
ENVO:01000667,10,geological fracture
ENVO:01001043,9,hypersaline water environment
ENVO:01000722,9,meltwater
ENVO:03000025,9,erosionally enriched ice
ENVO:01000580,9,telephone
ENVO:03600000,9,cleanroom
ENVO:00003905,9,obsolete vinegar
ENVO:01000776,9,piece of plastic
ENVO:01000944,9,microplastic particle
ENVO:03000005,9,erosionally enriched glacial ice
ENVO:00003081,8,metal contaminated soil
ENVO:01000113,8,suspended sediment
ENVO:00000040,8,waterfall
ENVO:00000216,8,fumarole
ENVO:00000039,8,fjord
ENVO:00010358,8,fomite
ENVO:01000581,8,mobile phone
ENVO:00005794,8,water scum
ENVO:01000129,8,marine hydrothermal vent chimney
ENVO:01001885,8,submerged landform
ENVO:00005747,8,compost soil
ENVO:00003930,8,scum
ENVO:00003885,7,brewery
ENVO:01001526,7,frozen soil
ENVO:00000101,7,delta
ENVO:00000386,7,river mouth
ENVO:00003067,7,obsolete beef
ENVO:03501370,7,stagnant water
ENVO:00000373,7,obsolete geothermal field
ENVO:01000426,7,room
ENVO:00000338,7,vomit material
ENVO:00000170,7,dune
ENVO:01000798,7,plasma
ENVO:01000419,6,domestic garden
ENVO:00002872,6,bagasse
ENVO:01000271,6,clastic sedimentary rock
ENVO:01000369,6,vadose cave
ENVO:01001042,6,sterile water environment
ENVO:01000424,6,patio
ENVO:00002169,6,coal mine
ENVO:0010158,6,obsolete tea
ENVO:01000640,5,planetary mantle
PATO:0000140,5,position
ENVO:01001116,5,bovine dairy liquid manure
ENVO:2000002,5,industrial wastewate treatment plant
ENVO:01000418,5,human house
ENVO:00000563,5,pier
ENVO:00002230,5,anthrosol
ENVO:00002184,5,subsurface landform
ENVO:01001038,5,moderately saline water
ENVO:01000785,5,material extraction process
ENVO:01001491,5,flattened elevation
ENVO:00000182,5,plateau
ENVO:01000933,5,residential building
ENVO:00002255,5,solonetz
ENVO:01000358,5,acidic water
ENVO:00010624,5,botanical garden
ENVO:00002875,5,oil contaminated soil
ENVO:00002185,5,oil reservoir
ENVO:01000560,5,charcoal
ENVO:02000023,5,bile material
ENVO:0010067,5,obsolete watermelon
ENVO:01001881,5,supraglacial
ENVO:01001176,5,environment associated with an aquatic invertebrate
ENVO:00002252,5,solonchak
ENVO:01000019,5,cave floor
ENVO:00002015,4,volcanic rock
ENVO:00003884,4,farmyard manure
ENVO:02000051,4,obsolete unpasteurized milk product
ENVO:01000033,4,oceanic pelagic zone biome
ENVO:01000629,4,climate change
ENVO:01001821,4,hydrothermally-influenced sediment
ENVO:01000350,4,autoclaved sand
ENVO:01001561,4,gel
ENVO:01000034,4,oceanic sea surface microlayer biome
ENVO:02000020,4,blood material
ENVO:03000072,4,second year ice
ENVO:00000382,4,lake shore
ENVO:01000536,3,factory
ENVO:01000422,3,bathroom
ENVO:00000165,3,asphalt lake
ENVO:00002275,3,technosol
ENVO:00000089,3,inland cliff
ENVO:01000687,3,coast
ENVO:01000872,3,ballast water
ENVO:04000012,3,particulate organic matter
ENVO:00005758,3,alluvial swamp soil
ENVO:00000482,3,sea floor
ENVO:01003020,3,fiat part of an astronomical object
ENVO:00002057,3,raw primary sludge
ENVO:01000361,3,primary cave
ENVO:00000330,3,stalagmite
ENVO:00005748,3,dry soil
ENVO:00000110,3,lava tunnel
ENVO:01000751,3,bedrock
ENVO:00000322,3,volcanic cave
ENVO:01000686,3,marine water mass
ENVO:00000303,3,sea coast
ENVO:0010035,3,obsolete cow's milk
ENVO:00002236,3,cryosol
ENVO:01000663,3,pumice
ENVO:00000232,3,fen
ENVO:01001870,3,gas well
ENVO:02000043,3,biological product
ENVO:00000892,3,small freshwater lake biome
ENVO:00002053,3,limestone
ENVO:00003860,3,pig manure
ENVO:00002055,3,sandstone
ENVO:01001851,2,geothermally active field
ENVO:01000312,2,culturing environment
ENVO:00000354,2,volcanic field
CHEBI:33579,2,main group molecular entity
ENVO:01000987,2,market
CHEBI:24431,2,chemical entity
CHEBI:25362,2,elemental molecule
ENVO:03501234,2,town hall
ENVO:01001221,2,office building
CHEBI:25806,2,oxygen molecular entity
ENVO:00000331,2,stalactite
ENVO:01000272,2,mudstone
ENVO:00003097,2,bore hole water
ENVO:00002232,2,andosol
ENVO:00000416,2,coastal dune
ENVO:03600081,2,cloud water
ENVO:01001841,2,volcanic soil
ENVO:00003973,2,obsolete kefir
ENVO:01000173,2,anoxic water
ENVO:00000195,2,sinkhole
ENVO:00005769,2,mountain forest soil
ENVO:00000135,2,buffer zone
CHEBI:33675,2,p-block molecular entity
CHEBI:33304,2,chalcogen molecular entity
CHEBI:24835,2,inorganic molecular entity
CHEBI:33262,2,elemental oxygen
CHEBI:23367,2,molecular entity
CHEBI:138675,2,gas molecular entity
CHEBI:33263,2,diatomic oxygen
ENVO:01000575,2,wax
ENVO:01001495,2,dioxygen dissolved in marine water
CHEBI:33259,2,elemental molecular entity
ENVO:03501304,2,cellophane
CHEBI:25367,2,molecule
ENVO:01000108,2,marine cold-water sphere
CHEBI:36357,2,polyatomic entity
CHEBI:15379,2,dioxygen
ENVO:00000136,2,demilitarized zone
ENVO:00000086,2,plain
ENVO:00000004,2,administrative region
ENVO:01000333,2,hillside
ENVO:00003979,2,obsolete sour milk
ENVO:03501198,2,wet market
ENVO:01001894,1,alkaline spring
ENVO:00000125,1,mineral spring
ENVO:00000025,1,reservoir
ENVO:00002119,1,alkaline hot spring
ENVO:01001498,1,thermokarst formation process
ENVO:02500031,1,hydrological process
ENVO:01001049,1,non-saline sediment environment
ENVO:01000871,1,puddle of water
ENVO:00002039,1,obsolete bone
ENVO:00000115,1,orchard
GO:0008150,1,biological_process
ENVO:00002029,1,obsolete extraterrestrial habitat
ENVO:00002031,1,obsolete anthropogenic habitat
ENVO:00002037,1,obsolete freshwater habitat
ENVO:00002017,1,metamorphic rock
ENVO:00002021,1,obsolete acid habitat
ENVO:00002023,1,obsolete high pressure habitat
